epoch,train_loss,test_loss,train_acc,test_acc
1,0.6964311003684998,0.6690391302108765,0.46875,0.6179577708244324
50,0.5559965372085571,0.8066806197166443,0.6875,0.36795774102211
100,0.5220988988876343,0.8869169354438782,0.6875,0.34683099389076233
150,0.49271440505981445,0.8620499968528748,0.75,0.42957746982574463
200,0.480385959148407,0.920926570892334,0.75,0.4190140962600708
250,0.4710558354854584,0.844996452331543,0.71875,0.44718310236930847
300,0.3589305877685547,0.9675859212875366,0.8125,0.44190141558647156
350,0.2600180208683014,1.3870868682861328,0.8125,0.4207746386528015
400,0.4423733353614807,1.3619630336761475,0.78125,0.5757042169570923
450,0.19318868219852448,2.0390522480010986,0.875,0.5651408433914185
500,0.24282583594322205,2.3851027488708496,0.875,0.5633803009986877
550,0.34086188673973083,1.2506380081176758,0.875,0.6285211443901062
600,0.22067448496818542,1.681435227394104,0.875,0.6038732528686523
650,0.10751491785049438,2.7664759159088135,0.96875,0.5827465057373047
700,0.10356733947992325,3.5459394454956055,0.96875,0.5757042169570923
750,0.10228845477104187,3.7055718898773193,0.96875,0.577464759349823
800,0.10178296267986298,3.7738308906555176,0.9375,0.5721830725669861
850,0.0994071215391159,3.7516403198242188,0.96875,0.5827465057373047
900,0.09546828269958496,3.783114194869995,0.9375,0.577464759349823
950,0.08344899863004684,4.148185729980469,0.9375,0.5704225301742554
1000,0.07274209707975388,4.488906383514404,0.9375,0.5193662047386169
1050,0.0833045095205307,4.30495023727417,0.96875,0.5580986142158508
1100,0.051286350935697556,4.783417701721191,0.9375,0.5264084339141846
1150,0.3233726918697357,7.661416530609131,0.9375,0.5404929518699646
1200,0.06486062705516815,2.6235954761505127,0.96875,0.5246478915214539
1250,0.16794165968894958,2.3935978412628174,0.9375,0.5
1300,0.19576334953308105,3.551541566848755,0.9375,0.5299295783042908
1350,0.031009700149297714,2.7007179260253906,1.0,0.5616196990013123
1400,0.07596009224653244,2.156689167022705,0.9375,0.5492957830429077
1450,0.004002608824521303,4.488811492919922,1.0,0.5299295783042908
1500,0.00024161340843420476,4.948646545410156,1.0,0.5457746386528015
1550,0.00014384713722392917,5.174705982208252,1.0,0.5422534942626953
1600,0.00010073271550936624,5.337334632873535,1.0,0.5492957830429077
1650,7.591912435600534e-05,5.469922065734863,1.0,0.5510563254356384
1700,6.0183912864886224e-05,5.582311630249023,1.0,0.5580986142158508
1750,4.9293557822238654e-05,5.682312965393066,1.0,0.5598591566085815
1800,4.13077614211943e-05,5.772156715393066,1.0,0.5598591566085815
1850,3.5218257835367694e-05,5.8524322509765625,1.0,0.5616196990013123
1900,3.05582580040209e-05,5.9250264167785645,1.0,0.5616196990013123
1950,2.677482189028524e-05,5.99159049987793,1.0,0.5616196990013123
2000,2.3597081963089295e-05,6.053664684295654,1.0,0.5616196990013123
